TRINITY_DN190606_c0_g1_i2	YP_012611761.1	96.9	255	8	0	891	1655	1	255	1.15e-175	503	YP_012611761.1 tRNA (guanine(37)-N(1))-methyltransferase [Escherichia phage vB_EcoM-613R3]
TRINITY_DN190606_c0_g1_i2	YP_012611760.1	89.3	178	19	0	323	856	5	182	3.19e-113	341	YP_012611760.1 16S rRNA processing protein [Escherichia phage vB_EcoM-613R3]
TRINITY_DN190606_c0_g1_i2	YP_012611762.1	98.3	115	2	0	1702	2046	1	115	3.05e-67	219	YP_012611762.1 LSU ribosomal protein L19p [Escherichia phage vB_EcoM-613R3]
TRINITY_DN190606_c0_g1_i2	YP_012611759.1	87.8	82	10	0	56	301	1	82	2.80e-40	145	YP_012611759.1 SSU ribosomal protein [Escherichia phage vB_EcoM-613R3]
TRINITY_DN107733_c0_g1_i1	YP_010796961.1	46.3	162	85	2	3	488	685	844	5.58e-43	154	YP_010796961.1 PolB [Mayetiola barley midge adintovirus]
TRINITY_DN187625_c0_g1_i2	YP_013610519.1	32.1	660	262	18	280	1743	10	655	4.90e-87	290	YP_013610519.1 thioredoxin reductase TR1 [Yasminevirus sp. GU-2018]
TRINITY_DN124330_c0_g4_i1	NP_647481.1	88.8	107	12	0	3	323	1624	1730	2.88e-57	192	NP_647481.1 nonstructural polyprotein [Cricket paralysis virus]
TRINITY_DN124330_c0_g4_i1	NP_044945.1	69.8	106	32	0	3	320	1612	1717	1.61e-43	153	NP_044945.1 replicase polyprotein [Drosophila C virus]
TRINITY_DN124330_c0_g4_i1	YP_009252204.1	63.6	107	39	0	3	323	1656	1762	1.38e-37	136	YP_009252204.1 non-structural polyprotein [Anopheles C virus]
TRINITY_DN124330_c0_g4_i1	YP_009388499.1	57.8	109	43	1	3	320	1726	1834	5.04e-35	129	YP_009388499.1 nonstructural polyprotein [Apis dicistrovirus]
TRINITY_DN124330_c0_g4_i1	YP_009221981.1	50.5	107	52	1	3	320	1678	1784	7.55e-26	103	YP_009221981.1 nonstructural polyprotein [Goose dicistrovirus]
TRINITY_DN124326_c0_g3_i1	YP_009173627.1	62.3	607	222	6	240	2045	8	612	9.51e-251	713	YP_009173627.1 Hsp70 protein [Chrysochromulina ericina virus]
TRINITY_DN124326_c0_g3_i1	YP_004061438.1	60.6	611	227	7	246	2060	5	607	8.08e-243	691	YP_004061438.1 hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1]
TRINITY_DN124326_c0_g3_i1	YP_007676312.1	61.4	599	222	6	246	2027	5	599	2.99e-236	674	YP_007676312.1 heat shock protein 70 [Micromonas pusilla virus 12T]
TRINITY_DN124326_c0_g3_i1	YP_010776364.1	56.9	626	253	7	246	2087	7	627	1.47e-232	665	YP_010776364.1 hypothetical protein QJ849_gp451 [Powai lake megavirus]
TRINITY_DN124326_c0_g3_i1	YP_010789745.1	57.3	609	254	5	246	2060	6	612	4.05e-232	664	YP_010789745.1 heat shock 70 kDa protein-like protein [Moumouvirus australiensis]
TRINITY_DN124326_c0_g4_i1	YP_010778092.1	63.9	202	72	1	46	651	195	395	7.30e-79	249	YP_010778092.1 putative DnaK/HSP70-like protein [Bodo saltans virus]
TRINITY_DN124326_c0_g4_i1	YP_007676312.1	61.1	203	77	1	46	654	390	590	1.57e-74	243	YP_007676312.1 heat shock protein 70 [Micromonas pusilla virus 12T]
TRINITY_DN124326_c0_g4_i1	YP_004061438.1	59.6	203	76	1	46	654	391	587	2.50e-74	243	YP_004061438.1 hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1]
TRINITY_DN124326_c0_g4_i1	YP_009173627.1	60.1	203	81	0	46	654	395	597	6.21e-74	243	YP_009173627.1 Hsp70 protein [Chrysochromulina ericina virus]
TRINITY_DN124326_c0_g4_i1	YP_009173450.1	55.7	203	90	0	46	654	78	280	1.93e-72	229	YP_009173450.1 Repeat containing Hsp70 [Chrysochromulina ericina virus]
TRINITY_DN124326_c0_g5_i1	YP_009173627.1	65.1	614	204	3	159	1994	6	611	2.31e-282	795	YP_009173627.1 Hsp70 protein [Chrysochromulina ericina virus]
TRINITY_DN124326_c0_g5_i1	YP_004061438.1	64.9	616	199	6	168	2006	4	605	1.10e-278	784	YP_004061438.1 hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1]
TRINITY_DN124326_c0_g5_i1	YP_007676312.1	66.2	603	192	4	168	1970	4	596	8.95e-274	771	YP_007676312.1 heat shock protein 70 [Micromonas pusilla virus 12T]
TRINITY_DN124326_c0_g5_i1	YP_004894551.1	61.0	620	232	3	150	2006	1	611	1.29e-264	748	YP_004894551.1 heat shock 70 kDa protein-like protein [Megavirus chiliensis]
TRINITY_DN124326_c0_g5_i1	YP_010789745.1	61.4	614	228	3	168	2006	5	610	3.55e-264	747	YP_010789745.1 heat shock 70 kDa protein-like protein [Moumouvirus australiensis]
TRINITY_DN124326_c0_g6_i1	YP_009173627.1	76.4	390	91	1	88	1254	2	391	8.34e-212	601	YP_009173627.1 Hsp70 protein [Chrysochromulina ericina virus]
TRINITY_DN124326_c0_g6_i1	YP_004061438.1	79.4	384	77	2	106	1251	3	386	4.11e-211	597	YP_004061438.1 hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1]
TRINITY_DN124326_c0_g6_i1	YP_007676312.1	78.1	379	82	1	106	1239	3	381	8.38e-207	586	YP_007676312.1 heat shock protein 70 [Micromonas pusilla virus 12T]
